大專畢業生主要工作有薪資所得者之平均月薪及可工作人口之已投入職場比率-按學門(博士) 105/7/21更正 ,,,,,,,,,,,,,,,,,,,,,,,,,
學門,,平均薪資                   投入職場比率%, 99學年度畢業生102年薪資及已投入職場比率 ,, 99學年度畢業生103年薪資及已投入職場比率 ,, 100學年度畢業生103年薪資及已投入職場比率 ,,,,,,,,,,,,,,,,,,
,,, 博士 ,, 博士 ,, 博士 ,,,,,,,,,,,,,,,,,,
,, 已投入職場比率% ,94.94%,91.89%,90.59%,88.71%,,,88.89%,91.89%,92.19%,85.94%,,,98.29%,100.00%,88.13%,89.80%,,,,,,,
8502,環境防災學類, 平均月薪 ,"43,111","59,331","26,988",,,,"49,284","67,567","30,532",,,,"38,242","74,649","31,147",,,,,,,,
,, 已投入職場比率% ,90.00%,95.24%,89.47%,,,,88.57%,95.24%,89.47%,,,,96.00%,100.00%,93.62%,,,,,,,,
8599,其他環境保護學類, 平均月薪 ,"39,917","61,156",,,,,"40,883","66,897",,,,,"35,677","67,809",,,,,,,,,
,, 已投入職場比率% ,86.36%,91.30%,,,,,95.45%,91.30%,,,,,85.71%,96.88%,,,,,,,,,
8601,警政學類, 平均月薪 ,,"50,196","25,693",,,,,"50,195","30,224",,,,,"81,056","24,444",,,,,,,,
,, 已投入職場比率% ,,80.00%,83.70%,,,,,80.00%,82.61%,,,,,90.00%,82.35%,,,,,,,,
9901,其他不能歸類之各學類, 平均月薪 ,"74,148","62,793","38,232",,,,"77,322","63,023","45,150",,,,"88,234","83,027",,,,,,,,,
,, 已投入職場比率% ,94.74%,100.00%,85.71%,,,,84.21%,100.00%,100.00%,,,,93.75%,100.00%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,大專畢業生可工作人口中之已投入職場比率-按學校  105.7.21更正,,,,,,,,,,,,,,,,,,,,,,,,
代碼,學校名稱, 99學年度畢業生102年已投入職場比率 ,,,,,,,, 99學年度畢業生103年已投入職場比率 ,,,,,,,, 100學年度畢業生103年已投入職場比率 ,,,,,,,
,, 博士 ,, 碩士 ,, 學士 ,, 專科 ,, 博士 ,, 碩士 ,, 學士 ,, 專科 ,, 博士 ,, 碩士 ,, 學士 ,, 專科 ,
,, 未滿35歲 , 35歲以上 , 日間學制 , 在職專班 , 日間學制 , 進修學制 , 日間學制 , 進修學制 , 未滿35歲 , 35歲以上 , 日間學制 , 在職專班 , 日間學制 , 進修學制 , 日間學制 , 進修學制 , 未滿35歲 , 35歲以上 , 日間學制 , 在職專班 , 日間學制 , 進修學制 , 日間學制 , 進修學制 
1,國立政治大學,92.00%,96.36%,93.87%,94.74%,80.81%,,,,96.00%,96.36%,94.27%,92.60%,85.80%,,,,92.59%,90.00%,92.51%,97.29%,82.99%,,,
2,國立清華大學,96.13%,96.20%,95.31%,94.05%,78.46%,,,,95.88%,94.94%,95.57%,94.05%,82.98%,,,,96.41%,95.83%,94.64%,93.07%,76.26%,,,
3,國立臺灣大學,93.92%,95.20%,91.95%,94.62%,77.65%,87.85%,,,97.01%,94.40%,92.79%,90.32%,80.17%,89.72%,,,95.66%,95.45%,92.97%,94.05%,75.92%,76.19%,,
4,國立臺灣師範大學,93.75%,93.58%,92.93%,95.89%,80.38%,,,,94.00%,92.66%,93.15%,95.54%,83.00%,,,,92.59%,99.10%,93.55%,96.27%,81.44%,,,
5,國立成功大學,97.09%,95.77%,94.34%,95.63%,81.24%,,,,97.80%,95.07%,95.76%,96.22%,84.30%,,,,97.63%,95.12%,95.19%,97.39%,79.55%,,,
6,國立中興大學,95.77%,94.67%,92.41%,97.14%,80.53%,83.92%,,,96.63%,96.00%,94.08%,96.90%,83.69%,84.62%,,,93.67%,94.74%,92.01%,95.44%,78.69%,82.30%,,
7,國立交通大學,97.73%,98.08%,95.36%,97.31%,80.71%,,,,98.27%,98.08%,95.85%,96.74%,80.71%,,,,98.43%,95.18%,95.17%,96.80%,76.81%,,,
8,國立中央大學,97.01%,97.10%,93.88%,97.03%,85.47%,,,,98.96%,95.65%,95.49%,96.58%,87.82%,,,,98.95%,95.08%,93.88%,96.69%,81.77%,,,
9,國立中山大學,86.27%,91.80%,94.36%,95.95%,80.32%,,,,91.38%,88.52%,94.17%,96.36%,85.29%,,,,95.24%,94.59%,95.13%,95.02%,77.94%,,,
12,國立臺灣海洋大學,93.33%,90.00%,93.86%,96.50%,84.64%,88.33%,,,94.44%,95.00%,94.59%,97.01%,89.01%,89.17%,,,100.00%,96.15%,94.19%,97.70%,84.14%,89.52%,,
13,國立中正大學,94.87%,95.89%,93.05%,96.08%,78.07%,,,,95.83%,94.52%,95.36%,95.10%,84.52%,,,,92.86%,93.48%,93.36%,94.64%,78.83%,,,
14,國立高雄師範大學,100.00%,100.00%,92.53%,,83.07%,,,,100.00%,98.33%,93.50%,,86.37%,,,,100.00%,93.44%,90.93%,,81.39%,,,
15,國立彰化師範大學,,95.12%,92.37%,97.69%,86.72%,,,,,90.24%,93.01%,97.69%,91.75%,,,,100.00%,100.00%,92.97%,98.80%,85.76%,,,
16,國立陽明大學,89.80%,96.67%,93.04%,100.00%,84.26%,,,,90.91%,100.00%,93.07%,100.00%,85.53%,,,,97.01%,94.64%,91.16%,97.22%,87.11%,,,
17,國立臺北大學,,100.00%,90.33%,96.65%,81.98%,86.98%,,,,100.00%,92.87%,96.65%,86.90%,88.60%,,,100.00%,90.91%,90.67%,98.72%,83.95%,88.48%,,
18,國立嘉義大學,100.00%,91.67%,93.35%,96.46%,82.42%,87.19%,,,100.00%,91.67%,93.62%,97.24%,87.86%,87.26%,,,,83.33%,91.11%,96.91%,81.50%,81.98%,,
19,國立高雄大學,,,87.11%,90.68%,75.44%,89.53%,,,,,90.05%,88.98%,81.48%,90.70%,,,,,88.17%,94.07%,79.57%,96.83%,,
20,國立東華大學,87.50%,93.33%,93.27%,97.18%,83.00%,100.00%,,,81.82%,93.33%,93.53%,97.18%,86.03%,85.71%,,,100.00%,100.00%,94.41%,96.18%,83.40%,,,
21,國立暨南國際大學,87.50%,100.00%,94.78%,95.95%,84.52%,100.00%,,,100.00%,100.00%,94.74%,94.59%,85.78%,100.00%,,,100.00%,84.62%,92.51%,97.09%,88.33%,,,
22,國立臺灣科技大學,94.44%,93.75%,95.43%,97.08%,87.94%,90.32%,,,95.45%,95.38%,96.43%,96.72%,91.68%,93.55%,,,96.30%,97.26%,96.78%,96.60%,88.08%,88.68%,,
23,國立雲林科技大學,100.00%,95.12%,94.14%,98.14%,88.99%,,,,92.31%,92.68%,94.45%,97.52%,92.08%,,,,92.86%,85.71%,96.19%,97.77%,90.37%,,,
24,國立屏東科技大學,100.00%,100.00%,94.77%,95.48%,87.85%,92.47%,,,100.00%,100.00%,95.97%,95.02%,91.27%,90.68%,,,100.00%,100.00%,92.32%,94.91%,90.80%,86.83%,,
25,國立臺北科技大學,90.00%,100.00%,94.57%,97.24%,87.43%,91.44%,,,95.83%,92.86%,96.49%,97.24%,90.87%,91.18%,,,96.15%,93.33%,96.48%,95.24%,89.99%,94.06%,,
26,國立高雄第一科技大學,100.00%,94.12%,92.36%,98.08%,87.21%,,,,100.00%,94.12%,94.38%,96.55%,92.92%,,,,100.00%,93.75%,94.62%,96.39%,90.91%,,,
27,國立高雄應用科技大學,,100.00%,93.38%,95.54%,88.91%,,,,,100.00%,95.80%,94.18%,91.82%,,,,100.00%,83.33%,95.10%,96.98%,92.31%,91.27%,,
28,國立臺北藝術大學,,100.00%,76.57%,92.86%,60.78%,,,,,80.00%,84.57%,92.86%,64.08%,,,,,,76.26%,93.94%,58.46%,,,
29,國立臺灣藝術大學,,,80.49%,86.08%,76.72%,77.13%,,,,,81.71%,86.08%,80.00%,79.33%,,,,,83.97%,92.00%,75.71%,80.00%,,
30,國立臺東大學,,,92.31%,97.29%,83.54%,86.36%,,,,,90.00%,96.25%,88.80%,90.91%,,,,,94.81%,96.73%,84.14%,70.59%,,
31,國立宜蘭大學,,,92.39%,,83.78%,90.91%,,,,,94.30%,,88.12%,95.87%,,,,,93.51%,100.00%,86.89%,93.18%,,
32,國立聯合大學,,,92.06%,,90.70%,,,,,,94.78%,,92.41%,,,,,,95.33%,,89.09%,,,
33,國立虎尾科技大學,100.00%,,97.10%,,90.38%,,,,100.00%,,97.32%,,92.73%,,,,100.00%,,96.03%,,91.33%,,,
34,國立高雄海洋科技大學,,,92.38%,95.74%,87.07%,89.11%,65.00%,,,,97.22%,95.74%,90.67%,90.56%,70.00%,,,,94.23%,97.83%,89.81%,89.43%,89.47%,
35,國立臺南藝術大學,,,75.00%,,71.43%,61.54%,,,,,81.56%,,75.51%,76.92%,,,,,78.91%,100.00%,80.61%,70.59%,,
36,國立臺南大學,,100.00%,94.98%,99.04%,78.34%,83.33%,,,,100.00%,94.52%,99.05%,83.53%,85.56%,,,,100.00%,94.53%,98.76%,81.62%,82.42%,,
37,國立臺北教育大學,,100.00%,95.72%,96.23%,86.13%,,,,,100.00%,95.12%,94.34%,87.35%,,,,,91.67%,94.31%,97.95%,85.37%,,,
38,國立新竹教育大學,,100.00%,92.50%,100.00%,85.91%,,,,,100.00%,92.22%,99.35%,90.06%,,,,,75.00%,94.76%,,83.25%,,,
39,國立臺中教育大學,100.00%,80.00%,93.00%,98.32%,86.01%,,,,100.00%,80.00%,95.12%,98.32%,87.95%,,,,,100.00%,94.36%,97.47%,84.80%,,,
40,國立屏東教育大學,,85.71%,92.99%,99.18%,85.47%,,,,,85.71%,95.83%,98.77%,88.49%,,,,,76.92%,90.70%,98.28%,84.68%,,,
42,國立澎湖科技大學,,,80.00%,100.00%,87.24%,96.55%,,100.00%,,,83.33%,100.00%,91.08%,93.10%,,100.00%,,,88.00%,100.00%,86.59%,91.80%,,
43,國立勤益科技大學,,,95.14%,91.07%,91.20%,92.65%,100.00%,82.26%,,,96.57%,91.07%,91.94%,92.32%,93.33%,90.14%,,,95.42%,98.25%,91.74%,93.11%,70.00%,86.96%
44,國立體育大學,100.00%,100.00%,97.74%,,88.31%,79.17%,,,,100.00%,96.24%,,91.77%,79.17%,,,100.00%,87.50%,92.73%,,84.65%,92.86%,,
46,國立臺北護理健康大學,,100.00%,97.54%,94.12%,95.25%,97.03%,,,,100.00%,95.08%,97.06%,95.41%,95.54%,,,,83.33%,94.83%,100.00%,95.17%,95.88%,,
47,國立高雄餐旅大學,,,85.11%,88.00%,89.09%,82.32%,95.24%,88.04%,,,85.11%,84.00%,88.54%,84.85%,95.24%,87.13%,,,92.86%,89.66%,89.02%,87.50%,61.90%,
48,國立金門大學,,,96.15%,,86.28%,88.79%,,,,,92.31%,,90.65%,84.48%,,,,,92.59%,,85.71%,91.84%,,
49,國立臺灣體育運動大學,,,94.64%,100.00%,82.46%,90.91%,,,,,98.21%,100.00%,84.11%,86.36%,,,,,94.83%,90.63%,88.22%,79.37%,,
50,國立臺中科技大學,,,88.41%,97.06%,88.99%,89.34%,55.38%,87.58%,,,94.37%,94.12%,91.49%,89.36%,69.73%,83.95%,,,90.52%,100.00%,88.02%,90.37%,32.28%,72.88%
136,國立屏東商業技術學院,,,90.91%,100.00%,89.45%,92.26%,,,,,90.91%,100.00%,92.18%,85.12%,,,,,91.75%,100.00%,90.12%,82.74%,,
142,國立臺北商業技術學院,,,94.87%,90.91%,91.74%,92.73%,49.11%,87.20%,,,92.31%,90.91%,91.74%,91.86%,69.91%,87.20%,,,90.00%,100.00%,90.56%,92.91%,46.15%,73.17%
144,國立臺灣戲曲學院,,,,,71.23%,,,,,,,,79.45%,,,,,,,,77.03%,,100.00%,
221,國立臺南護理專科學校,,,,,,,74.19%,74.19%,,,,,,,83.87%,83.87%,,,,,,,76.92%,80.65%
222,國立臺東專科學校,,,,,,,72.12%,85.00%,,,,,,,76.15%,87.00%,,,,,,,58.33%,81.54%
1001,東海大學,100.00%,100.00%,91.99%,94.32%,81.58%,82.20%,,,100.00%,100.00%,91.92%,90.91%,85.28%,79.17%,,,100.00%,89.47%,91.75%,90.91%,81.40%,77.08%,,
1002,輔仁大學,100.00%,88.89%,89.20%,95.38%,83.49%,89.87%,,,100.00%,88.89%,91.06%,95.92%,87.10%,89.98%,,,83.33%,86.21%,94.16%,95.31%,84.59%,89.29%,,
1003,東吳大學,,100.00%,89.32%,94.41%,83.59%,86.70%,,,,75.00%,90.43%,91.62%,86.68%,85.84%,,,,83.33%,91.39%,95.88%,82.87%,86.40%,,
1004,中原大學,95.83%,90.48%,92.71%,95.11%,86.54%,89.47%,,,93.55%,90.48%,95.32%,94.83%,88.62%,78.95%,,,94.12%,91.67%,94.90%,93.46%,88.52%,100.00%,,
1005,淡江大學,94.74%,95.12%,91.87%,96.13%,86.35%,87.60%,,,95.00%,95.12%,93.21%,95.67%,88.75%,88.69%,,,91.43%,97.22%,92.52%,97.51%,86.48%,89.33%,,
1006,中國文化大學,100.00%,82.86%,89.46%,89.51%,82.81%,89.01%,,,100.00%,85.71%,90.39%,86.14%,86.34%,87.47%,,,83.33%,78.38%,90.13%,94.82%,84.63%,86.10%,,
1007,逢甲大學,100.00%,94.74%,92.42%,94.65%,85.80%,87.16%,,,100.00%,89.47%,95.85%,94.88%,88.59%,87.16%,,,100.00%,92.86%,95.68%,95.70%,86.89%,89.19%,,
1008,靜宜大學,,100.00%,90.49%,95.35%,86.43%,87.50%,,,,100.00%,91.63%,96.55%,87.31%,84.38%,,,100.00%,,88.53%,96.20%,86.10%,91.67%,,
1009,長庚大學,100.00%,93.33%,95.63%,96.77%,88.33%,,,,100.00%,93.33%,96.68%,95.97%,90.70%,,,,100.00%,100.00%,95.70%,96.75%,86.40%,,,
1010,元智大學,100.00%,87.50%,97.15%,,84.42%,,,,100.00%,87.50%,97.26%,,85.28%,,,,93.75%,100.00%,95.01%,,83.73%,,,
1011,中華大學,100.00%,100.00%,95.87%,96.89%,89.30%,91.41%,,,100.00%,91.67%,95.70%,95.03%,92.82%,88.28%,,,85.71%,92.86%,94.94%,99.34%,87.13%,87.90%,,
1012,大葉大學,100.00%,100.00%,88.79%,98.32%,84.61%,75.51%,,,100.00%,100.00%,90.99%,98.33%,88.60%,75.51%,,,100.00%,100.00%,92.96%,97.83%,85.93%,77.14%,,
1013,華梵大學,,,87.34%,94.62%,83.33%,,,,,,90.12%,90.23%,85.93%,,,,,83.33%,88.79%,91.89%,86.13%,,,
1014,義守大學,100.00%,90.00%,90.91%,92.31%,85.02%,88.26%,,,80.00%,90.00%,92.71%,90.21%,88.08%,90.39%,,,100.00%,75.00%,92.39%,94.97%,83.82%,87.12%,,
1015,世新大學,,85.71%,86.34%,95.21%,86.83%,,,,,100.00%,90.12%,94.56%,88.49%,,,,,85.71%,90.00%,94.13%,86.21%,,,
1016,銘傳大學,,,94.90%,95.99%,87.68%,95.80%,,,,,93.07%,94.70%,90.39%,93.28%,,,,,93.13%,98.00%,88.70%,94.55%,,
1017,實踐大學,,,88.51%,93.10%,86.71%,89.38%,,,,,89.77%,93.10%,89.08%,89.24%,,,,,88.89%,93.02%,87.16%,87.68%,,
1018,朝陽科技大學,,,92.88%,92.66%,91.13%,89.90%,,,,,95.64%,92.09%,92.21%,88.50%,,,,,95.09%,94.97%,91.79%,88.35%,,
1019,高雄醫學大學,81.82%,96.55%,91.78%,87.18%,83.96%,99.07%,,,72.73%,96.55%,92.27%,89.74%,86.70%,98.13%,,,90.91%,96.30%,95.13%,97.96%,86.19%,98.04%,,
1020,南華大學,,75.00%,85.48%,96.22%,81.72%,88.89%,,,,75.00%,85.95%,93.55%,85.67%,89.13%,,,,100.00%,87.44%,95.71%,86.62%,75.00%,,
1021,真理大學,,,83.67%,100.00%,86.69%,87.80%,,,,,83.67%,100.00%,89.25%,87.86%,,,,,89.47%,100.00%,86.39%,88.05%,,
1022,大同大學,83.33%,87.50%,93.85%,96.85%,78.76%,,,,88.89%,87.50%,96.24%,98.43%,88.79%,,,,100.00%,100.00%,94.38%,97.76%,84.29%,,,
1023,南臺科技大學,100.00%,,92.17%,96.69%,89.25%,89.86%,,,100.00%,,94.50%,96.05%,91.90%,89.79%,,,,,90.98%,93.91%,91.17%,89.78%,,
1024,崑山科技大學,,,93.42%,94.92%,89.57%,91.43%,87.50%,,,,94.30%,94.92%,90.85%,92.87%,100.00%,,,,94.01%,95.31%,90.04%,89.53%,,
1025,嘉南藥理大學,,,93.29%,95.83%,88.88%,89.03%,,,,,95.30%,95.83%,90.94%,88.85%,,,,,94.03%,96.15%,89.69%,87.61%,,
1026,樹德科技大學,,,87.27%,95.74%,88.37%,88.93%,,,,,87.61%,94.79%,90.38%,89.35%,,,,,86.11%,97.30%,87.00%,88.77%,,
1027,慈濟大學,75.00%,100.00%,93.70%,92.86%,88.65%,,,,75.00%,83.33%,95.28%,92.86%,91.62%,,,,83.33%,100.00%,91.94%,100.00%,85.52%,,,
1028,臺北醫學大學,100.00%,100.00%,95.14%,89.36%,86.07%,98.03%,,,100.00%,100.00%,95.74%,87.23%,87.34%,98.68%,,,100.00%,100.00%,91.67%,96.00%,86.42%,94.41%,,
1029,中山醫學大學,75.00%,96.88%,91.45%,100.00%,87.02%,92.35%,,,100.00%,96.88%,90.00%,100.00%,88.63%,91.84%,,,75.00%,95.45%,92.96%,96.88%,87.07%,88.89%,,
1030,龍華科技大學,,,96.00%,91.30%,88.00%,93.67%,,,,,96.70%,95.65%,91.90%,93.89%,,,,,96.43%,96.88%,92.86%,93.27%,85.71%,
1031,輔英科技大學,,,100.00%,,93.25%,95.07%,75.12%,,,,100.00%,,94.95%,96.55%,84.88%,,,,93.10%,,92.16%,95.45%,83.91%,
1032,明新科技大學,,,94.20%,100.00%,92.87%,94.12%,,93.33%,,,94.59%,100.00%,94.02%,94.13%,,93.33%,,,93.28%,96.08%,92.62%,93.24%,,100.00%
1033,長榮大學,,100.00%,90.43%,91.30%,84.57%,84.56%,,,,100.00%,89.42%,85.11%,87.73%,83.09%,,,,83.33%,90.67%,88.00%,85.18%,86.05%,,
1034,弘光科技大學,,,95.45%,100.00%,91.47%,91.65%,78.57%,,,,95.45%,100.00%,92.14%,93.21%,88.10%,,,,98.46%,92.31%,92.19%,92.33%,88.89%,
1035,中國醫藥大學,100.00%,93.75%,89.76%,100.00%,83.27%,97.47%,,,100.00%,87.50%,90.64%,100.00%,86.66%,97.47%,,,80.00%,100.00%,93.48%,96.15%,85.10%,98.77%,,
1036,健行科技大學,,,90.38%,97.14%,91.39%,92.51%,87.50%,,,,92.04%,97.14%,92.37%,93.03%,87.50%,,,,93.01%,97.62%,91.37%,92.36%,83.33%,
1037,正修科技大學,,,94.34%,77.78%,87.70%,88.22%,55.26%,87.91%,,,97.22%,72.22%,89.54%,89.64%,66.28%,90.22%,,,91.33%,94.74%,89.33%,89.52%,58.10%,85.11%
1038,萬能科技大學,,,91.89%,97.78%,89.87%,92.85%,,,,,92.11%,95.65%,91.71%,92.86%,,,,,92.59%,95.35%,88.58%,91.41%,,
1039,玄奘大學,,,87.60%,99.17%,84.57%,85.84%,,,,,87.60%,98.35%,86.39%,88.55%,,,,,86.36%,94.12%,86.17%,90.51%,,
1040,建國科技大學,,,92.63%,,87.59%,88.58%,73.68%,82.95%,,,92.86%,,89.86%,88.20%,78.95%,86.36%,,,91.55%,,89.77%,88.87%,90.00%,86.21%
1041,明志科技大學,,,94.26%,100.00%,91.99%,96.86%,75.00%,70.00%,,,97.84%,92.31%,94.59%,93.72%,100.00%,100.00%,,,94.74%,100.00%,89.51%,91.53%,,100.00%
1042,高苑科技大學,,,96.23%,96.15%,87.60%,92.55%,64.91%,,,,96.23%,90.38%,89.65%,93.73%,84.81%,,,,89.42%,94.12%,88.77%,94.04%,80.28%,
1043,大仁科技大學,,,96.77%,96.77%,88.75%,89.88%,67.92%,77.78%,,,93.55%,96.77%,90.24%,91.11%,76.11%,84.21%,,,90.00%,97.14%,86.25%,90.02%,64.04%,
1044,聖約翰科技大學,,,85.48%,100.00%,88.60%,88.59%,,,,,92.65%,95.83%,91.12%,89.39%,,,,,94.12%,100.00%,90.64%,90.42%,,
1045,嶺東科技大學,,,82.89%,93.75%,87.31%,85.06%,,,,,82.89%,91.67%,88.32%,87.15%,,,,,90.10%,85.00%,88.48%,86.01%,,
1046,中國科技大學,,,89.66%,,91.17%,92.12%,51.52%,93.55%,,,89.66%,,92.03%,89.38%,85.07%,90.32%,,,92.68%,,89.58%,91.86%,31.71%,85.71%
1047,中臺科技大學,,,92.42%,100.00%,90.41%,93.86%,74.07%,,,,86.36%,97.73%,91.65%,93.75%,70.37%,,,,93.59%,96.25%,89.72%,93.68%,79.49%,
1048,亞洲大學,,,93.14%,98.45%,84.90%,84.66%,,,,,89.94%,98.45%,87.13%,86.84%,,,,,91.53%,95.00%,85.46%,84.97%,,
1049,開南大學,,,81.73%,95.74%,87.01%,87.18%,,,,,83.96%,95.74%,89.43%,88.89%,,,,,94.34%,98.23%,89.29%,92.75%,,
1050,佛光大學,,,89.54%,90.36%,85.58%,,,,,,88.46%,86.90%,86.57%,,,,,,86.71%,93.85%,82.86%,,,
1051,台南應用科技大學,,,76.92%,86.67%,85.96%,86.74%,50.72%,,,,84.62%,88.89%,88.88%,86.28%,70.29%,,,,89.39%,89.66%,86.75%,86.82%,54.68%,87.50%
1052,遠東科技大學,,,97.30%,,88.17%,89.96%,75.00%,,,,97.44%,,90.45%,91.11%,75.00%,,,,96.72%,,89.77%,89.69%,84.62%,
1053,元培醫事科技大學,,,95.74%,100.00%,92.05%,97.13%,,,,,95.74%,100.00%,91.84%,98.00%,,,,,94.37%,100.00%,91.21%,94.85%,,
1054,景文科技大學,,,88.89%,,88.45%,88.66%,,86.02%,,,88.89%,,90.53%,89.73%,,89.36%,,,92.86%,100.00%,89.98%,91.01%,,92.31%
1055,中華醫事科技大學,,,92.31%,,90.15%,92.40%,69.80%,,,,100.00%,,92.31%,92.27%,81.94%,,,,72.97%,,89.66%,95.27%,67.88%,
1056,東南科技大學,,,96.23%,94.74%,88.81%,89.02%,100.00%,71.43%,,,92.45%,94.74%,91.99%,91.09%,100.00%,71.43%,,,83.33%,100.00%,88.19%,92.78%,85.71%,
1057,德明財經科技大學,,,91.89%,,86.18%,91.09%,66.67%,92.86%,,,89.47%,,88.71%,91.39%,86.67%,90.48%,,,92.86%,,92.98%,90.12%,,90.00%
1058,明道大學,,,86.49%,100.00%,85.01%,83.05%,,,,,85.14%,95.24%,87.09%,84.83%,,,,,93.90%,94.74%,85.65%,85.25%,,
1059,康寧大學,,,84.00%,92.78%,81.99%,89.82%,,,,,92.00%,92.86%,85.74%,92.22%,,,,,93.59%,97.83%,84.07%,83.67%,,
1060,南開科技大學,,,90.00%,91.89%,85.66%,85.71%,71.64%,77.14%,,,92.50%,94.59%,89.29%,88.89%,77.78%,76.92%,,,89.66%,96.83%,88.16%,89.22%,61.82%,88.89%
1061,中華科技大學,,,90.59%,89.19%,87.81%,93.17%,,93.75%,,,90.59%,94.74%,91.25%,90.66%,,93.75%,,,95.71%,86.05%,89.46%,91.99%,,92.31%
1062,僑光科技大學,,,96.43%,88.89%,87.44%,,52.07%,54.55%,,,96.43%,88.89%,89.42%,,70.41%,83.33%,,,81.82%,100.00%,87.05%,,52.60%,
1063,育達科技大學,,,93.10%,96.97%,88.22%,91.87%,,,,,93.10%,100.00%,89.23%,91.87%,,,,,93.48%,97.06%,89.39%,90.35%,,
1064,美和科技大學,,,90.00%,84.62%,85.96%,93.32%,86.84%,100.00%,,,90.00%,92.31%,89.67%,93.93%,89.47%,75.00%,,,88.89%,90.00%,85.65%,92.62%,86.44%,
1065,吳鳳科技大學,,,90.91%,80.00%,87.75%,87.06%,72.50%,76.84%,,,90.91%,80.00%,89.48%,88.89%,75.47%,79.59%,,,92.86%,94.44%,85.46%,88.98%,74.07%,86.59%
1066,環球科技大學,,,94.87%,,90.21%,91.05%,82.02%,88.10%,,,94.87%,,90.87%,90.86%,80.85%,84.09%,,,97.06%,,86.14%,92.69%,71.88%,82.08%
1067,台灣首府大學,,,86.49%,,87.07%,90.74%,,,,,89.47%,,89.21%,92.38%,,,,,88.89%,,85.25%,90.24%,,
1068,中州科技大學,,,86.67%,,86.54%,89.13%,,75.00%,,,86.67%,,88.64%,89.15%,,100.00%,,,100.00%,88.89%,87.90%,90.34%,,
1069,修平科技大學,,,100.00%,,88.54%,91.97%,,92.86%,,,100.00%,,89.86%,91.61%,,95.05%,,,88.89%,,86.80%,92.63%,,90.24%
1070,長庚科技大學,,,,100.00%,96.99%,97.43%,83.33%,,,,,100.00%,96.88%,96.95%,88.60%,,,,,,95.78%,98.61%,83.05%,
1071,臺北城市科技大學,,,100.00%,,88.10%,91.39%,74.11%,81.31%,,,100.00%,,89.96%,93.06%,82.09%,80.53%,,,94.74%,,89.06%,88.25%,70.14%,93.02%
1072,大華科技大學,,,100.00%,,88.33%,90.49%,58.75%,100.00%,,,90.00%,,89.25%,91.65%,70.00%,100.00%,,,100.00%,,91.16%,89.98%,67.80%,91.67%
1073,醒吾科技大學,,,76.19%,,88.87%,90.37%,58.49%,81.63%,,,76.19%,,90.97%,90.64%,78.18%,85.71%,,,88.24%,100.00%,89.97%,90.93%,70.83%,86.96%
1074,南榮科技大學,,,75.00%,100.00%,87.05%,92.37%,79.55%,89.66%,,,88.89%,100.00%,91.11%,93.64%,79.17%,89.66%,,,90.00%,100.00%,90.71%,93.22%,85.71%,88.31%
1075,文藻外語大學,,,,100.00%,85.28%,82.28%,35.25%,,,,,90.91%,86.27%,84.47%,58.94%,,,,66.67%,100.00%,86.73%,83.66%,35.44%,
1125,興國管理學院,,,,,79.35%,79.75%,,,,,,,84.07%,88.61%,,,,,,,68.60%,87.29%,,
1148,大漢技術學院,,,,,87.43%,90.65%,,,,,,,88.01%,87.96%,,,,,,,84.33%,88.32%,,63.64%
1150,慈濟技術學院,,,100.00%,,91.52%,100.00%,97.78%,,,,100.00%,,91.90%,99.17%,94.51%,,,,,,89.67%,98.15%,90.91%,
1159,和春技術學院,,,100.00%,,84.48%,,62.50%,89.47%,,,100.00%,,88.13%,,68.97%,88.31%,,,77.78%,,87.26%,90.91%,86.11%,
1164,致理技術學院,,,57.14%,100.00%,90.33%,92.70%,55.94%,91.25%,,,71.43%,,92.47%,92.90%,75.34%,93.75%,,,91.67%,100.00%,91.55%,90.77%,68.38%,77.78%
1166,亞東技術學院,,,90.70%,,90.41%,90.38%,87.50%,,,,97.83%,,92.15%,93.16%,88.24%,,,,100.00%,,90.74%,90.48%,,
1168,桃園創新技術學院,,,75.00%,,91.25%,90.77%,,,,,75.00%,,91.40%,91.28%,,,,,100.00%,,90.27%,93.60%,88.52%,
1176,稻江科技暨管理學院,,,100.00%,,80.93%,83.56%,,,,,90.91%,,83.30%,86.39%,,,,,100.00%,,82.49%,89.35%,,
